frame,face_id,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
55,0,1.801,0.98,1,-0.077,0.183,-0.008,0.167,0.005,1.07,0.49,2.58,0.72,0.00,0.30,0.00,0.00,0.00,0.99,0.68,1.18,0.53,0.92,0.00,0.16,0.56,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00
56,0,1.834,0.98,1,-0.083,0.182,-0.012,0.176,-0.002,1.06,0.50,2.59,0.74,0.00,0.40,0.00,0.00,0.00,0.81,0.64,1.09,0.46,0.91,0.00,0.15,0.57,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00
57,0,1.867,0.98,1,-0.074,0.196,0.003,0.153,0.015,1.14,0.54,2.57,0.74,0.00,0.36,0.00,0.00,0.00,0.82,0.50,0.99,0.40,0.98,0.00,0.28,0.57,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
58,0,1.901,0.98,1,-0.077,0.195,-0.001,0.170,0.003,1.05,0.50,2.51,0.67,0.00,0.38,0.00,0.00,0.11,0.90,0.36,0.89,0.39,0.92,0.00,0.19,0.55,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
59,0,1.934,0.98,1,-0.082,0.195,0.002,0.175,-0.007,0.99,0.34,2.38,0.71,0.17,0.34,0.00,0.18,0.54,1.19,0.20,0.85,0.42,0.87,0.00,0.14,0.55,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
60,0,1.968,0.98,1,-0.083,0.238,0.030,0.143,0.010,0.72,0.11,2.17,0.46,0.46,0.45,0.00,0.47,1.09,1.28,0.07,0.86,0.35,0.75,0.00,0.00,0.52,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
61,0,2.001,0.98,1,-0.079,0.220,0.027,0.148,0.010,0.52,0.00,1.97,0.33,0.83,0.76,0.00,0.88,1.66,1.35,0.00,0.92,0.41,0.77,0.00,0.00,0.50,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
62,0,2.034,0.98,1,-0.076,0.228,0.030,0.148,0.014,0.34,0.00,1.80,0.09,1.11,0.96,0.00,1.09,1.99,1.28,0.00,0.94,0.54,0.80,0.00,0.00,0.49,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00
63,0,2.068,0.98,1,-0.074,0.227,0.039,0.147,0.017,0.26,0.00,1.72,0.02,1.29,0.95,0.00,1.21,2.19,1.35,0.00,1.00,0.74,0.84,0.00,0.00,0.47,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00
64,0,2.101,0.98,1,-0.076,0.241,0.047,0.146,0.017,0.22,0.00,1.69,0.03,1.41,0.87,0.00,1.18,2.28,1.25,0.00,0.90,0.75,0.82,0.00,0.00,0.44,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00
65,0,2.134,0.98,1,-0.078,0.240,0.050,0.145,0.017,0.12,0.00,1.66,0.00,1.45,0.88,0.00,1.24,2.28,1.29,0.00,0.86,0.77,0.81,0.00,0.00,0.45,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
66,0,2.168,0.98,1,-0.079,0.244,0.051,0.147,0.019,0.06,0.00,1.68,0.00,1.50,0.93,0.00,1.25,2.29,1.25,0.00,0.80,0.80,0.85,0.00,0.00,0.48,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
